year;month;landing_obligation;fleet_segment
2021;Sep;Y;ITA_DTS_0612
2021;Oct;Y;ITA_DTS_0612
2021;Nov;Y;ITA_DTS_0612
2021;Dec;Y;ITA_DTS_0612
2015;Jan;Y;ITA_DTS_1218
2015;Feb;Y;ITA_DTS_1218
2015;Mar;Y;ITA_DTS_1218
2015;Apr;Y;ITA_DTS_1218
2015;May;Y;ITA_DTS_1218
2015;Jun;Y;ITA_DTS_1218
2015;Jul;Y;ITA_DTS_1218
2015;Aug;Y;ITA_DTS_1218
2015;Sep;Y;ITA_DTS_1218
2015;Oct;Y;ITA_DTS_1218
2015;Nov;Y;ITA_DTS_1218
2015;Dec;Y;ITA_DTS_1218
2016;Jan;Y;ITA_DTS_1218
2016;Feb;Y;ITA_DTS_1218
2016;Mar;Y;ITA_DTS_1218
2016;Apr;Y;ITA_DTS_1218
2016;May;Y;ITA_DTS_1218
2016;Jun;Y;ITA_DTS_1218
2016;Jul;Y;ITA_DTS_1218
2016;Aug;Y;ITA_DTS_1218
2016;Sep;Y;ITA_DTS_1218
2016;Oct;Y;ITA_DTS_1218
2016;Nov;Y;ITA_DTS_1218
2016;Dec;Y;ITA_DTS_1218
2017;Jan;Y;ITA_DTS_1218
2017;Feb;Y;ITA_DTS_1218
2017;Mar;Y;ITA_DTS_1218
2017;Apr;Y;ITA_DTS_1218
2017;May;Y;ITA_DTS_1218
2017;Jun;Y;ITA_DTS_1218
2017;Jul;Y;ITA_DTS_1218
2017;Aug;Y;ITA_DTS_1218
2017;Sep;Y;ITA_DTS_1218
2017;Oct;Y;ITA_DTS_1218
2017;Nov;Y;ITA_DTS_1218
2017;Dec;Y;ITA_DTS_1218
2018;Jan;Y;ITA_DTS_1218
2018;Feb;Y;ITA_DTS_1218
2018;Mar;Y;ITA_DTS_1218
2018;Apr;Y;ITA_DTS_1218
2018;May;Y;ITA_DTS_1218
2018;Jun;Y;ITA_DTS_1218
2018;Jul;Y;ITA_DTS_1218
2018;Aug;Y;ITA_DTS_1218
2018;Sep;Y;ITA_DTS_1218
2018;Oct;Y;ITA_DTS_1218
2018;Nov;Y;ITA_DTS_1218
2018;Dec;Y;ITA_DTS_1218
2019;Jan;Y;ITA_DTS_1218
2019;Feb;Y;ITA_DTS_1218
2019;Mar;Y;ITA_DTS_1218
2019;Apr;Y;ITA_DTS_1218
2019;May;Y;ITA_DTS_1218
2019;Jun;Y;ITA_DTS_1218
2019;Jul;Y;ITA_DTS_1218
2019;Aug;Y;ITA_DTS_1218
2019;Sep;Y;ITA_DTS_1218
2019;Oct;Y;ITA_DTS_1218
2019;Nov;Y;ITA_DTS_1218
2019;Dec;Y;ITA_DTS_1218
2020;Jan;Y;ITA_DTS_1218
2020;Feb;Y;ITA_DTS_1218
2020;Mar;Y;ITA_DTS_1218
2020;Apr;Y;ITA_DTS_1218
2020;May;Y;ITA_DTS_1218
2020;Jun;Y;ITA_DTS_1218
2020;Jul;Y;ITA_DTS_1218
2020;Aug;Y;ITA_DTS_1218
2020;Sep;Y;ITA_DTS_1218
2020;Oct;Y;ITA_DTS_1218
2020;Nov;Y;ITA_DTS_1218
2020;Dec;Y;ITA_DTS_1218
2021;Jan;Y;ITA_DTS_1218
2021;Feb;Y;ITA_DTS_1218
2021;Mar;Y;ITA_DTS_1218
2021;Apr;Y;ITA_DTS_1218
2021;May;Y;ITA_DTS_1218
2021;Jun;Y;ITA_DTS_1218
2021;Jul;Y;ITA_DTS_1218
2021;Aug;Y;ITA_DTS_1218
2021;Sep;Y;ITA_DTS_1218
2021;Oct;Y;ITA_DTS_1218
2021;Nov;Y;ITA_DTS_1218
2021;Dec;Y;ITA_DTS_1218
2015;Jan;Y;ITA_DTS_1840
2015;Feb;Y;ITA_DTS_1840
2015;Mar;Y;ITA_DTS_1840
2015;Apr;Y;ITA_DTS_1840
2015;May;Y;ITA_DTS_1840
2015;Jun;Y;ITA_DTS_1840
2015;Jul;Y;ITA_DTS_1840
2015;Aug;Y;ITA_DTS_1840
2015;Sep;Y;ITA_DTS_1840
2015;Oct;Y;ITA_DTS_1840
2015;Nov;Y;ITA_DTS_1840
2015;Dec;Y;ITA_DTS_1840
2016;Jan;Y;ITA_DTS_1840
2016;Feb;Y;ITA_DTS_1840
2016;Mar;Y;ITA_DTS_1840
2016;Apr;Y;ITA_DTS_1840
2016;May;Y;ITA_DTS_1840
2016;Jun;Y;ITA_DTS_1840
2016;Jul;Y;ITA_DTS_1840
2016;Aug;Y;ITA_DTS_1840
2016;Sep;Y;ITA_DTS_1840
2016;Oct;Y;ITA_DTS_1840
2016;Nov;Y;ITA_DTS_1840
2016;Dec;Y;ITA_DTS_1840
2017;Jan;Y;ITA_DTS_1840
2017;Feb;Y;ITA_DTS_1840
2017;Mar;Y;ITA_DTS_1840
2017;Apr;Y;ITA_DTS_1840
2017;May;Y;ITA_DTS_1840
2017;Jun;Y;ITA_DTS_1840
2017;Jul;Y;ITA_DTS_1840
2017;Aug;Y;ITA_DTS_1840
2017;Sep;Y;ITA_DTS_1840
2017;Oct;Y;ITA_DTS_1840
2017;Nov;Y;ITA_DTS_1840
2017;Dec;Y;ITA_DTS_1840
2018;Jan;Y;ITA_DTS_1840
2018;Feb;Y;ITA_DTS_1840
2018;Mar;Y;ITA_DTS_1840
2018;Apr;Y;ITA_DTS_1840
2018;May;Y;ITA_DTS_1840
2018;Jun;Y;ITA_DTS_1840
2018;Jul;Y;ITA_DTS_1840
2018;Aug;Y;ITA_DTS_1840
2018;Sep;Y;ITA_DTS_1840
2018;Oct;Y;ITA_DTS_1840
2018;Nov;Y;ITA_DTS_1840
2018;Dec;Y;ITA_DTS_1840
2019;Jan;Y;ITA_DTS_1840
2019;Feb;Y;ITA_DTS_1840
2019;Mar;Y;ITA_DTS_1840
2019;Apr;Y;ITA_DTS_1840
2019;May;Y;ITA_DTS_1840
2019;Jun;Y;ITA_DTS_1840
2019;Jul;Y;ITA_DTS_1840
2019;Aug;Y;ITA_DTS_1840
2019;Sep;Y;ITA_DTS_1840
2019;Oct;Y;ITA_DTS_1840
2019;Nov;Y;ITA_DTS_1840
2019;Dec;Y;ITA_DTS_1840
2020;Jan;Y;ITA_DTS_1840
2020;Feb;Y;ITA_DTS_1840
2020;Mar;Y;ITA_DTS_1840
2020;Apr;Y;ITA_DTS_1840
2020;May;Y;ITA_DTS_1840
2020;Jun;Y;ITA_DTS_1840
2020;Jul;Y;ITA_DTS_1840
2020;Aug;Y;ITA_DTS_1840
2020;Sep;Y;ITA_DTS_1840
2020;Oct;Y;ITA_DTS_1840
2020;Nov;Y;ITA_DTS_1840
2020;Dec;Y;ITA_DTS_1840
2021;Jan;Y;ITA_DTS_1840
2021;Feb;Y;ITA_DTS_1840
2021;Mar;Y;ITA_DTS_1840
2021;Apr;Y;ITA_DTS_1840
2021;May;Y;ITA_DTS_1840
2021;Jun;Y;ITA_DTS_1840
2021;Jul;Y;ITA_DTS_1840
2021;Aug;Y;ITA_DTS_1840
2021;Sep;Y;ITA_DTS_1840
2021;Oct;Y;ITA_DTS_1840
2021;Nov;Y;ITA_DTS_1840
2021;Dec;Y;ITA_DTS_1840
2015;Jan;Y;HRV_DFN_0612
2015;Feb;Y;HRV_DFN_0612
2015;Mar;Y;HRV_DFN_0612
2015;Apr;Y;HRV_DFN_0612
2015;May;Y;HRV_DFN_0612
2015;Jun;Y;HRV_DFN_0612
2015;Jul;Y;HRV_DFN_0612
2015;Aug;Y;HRV_DFN_0612
2015;Sep;Y;HRV_DFN_0612
2015;Oct;Y;HRV_DFN_0612
2015;Nov;Y;HRV_DFN_0612
2015;Dec;Y;HRV_DFN_0612
2016;Jan;Y;HRV_DFN_0612
2016;Feb;Y;HRV_DFN_0612
2016;Mar;Y;HRV_DFN_0612
2016;Apr;Y;HRV_DFN_0612
2016;May;Y;HRV_DFN_0612
2016;Jun;Y;HRV_DFN_0612
2016;Jul;Y;HRV_DFN_0612
2016;Aug;Y;HRV_DFN_0612
2016;Sep;Y;HRV_DFN_0612
2016;Oct;Y;HRV_DFN_0612
2016;Nov;Y;HRV_DFN_0612
2016;Dec;Y;HRV_DFN_0612
2017;Jan;Y;HRV_DFN_0612
2017;Feb;Y;HRV_DFN_0612
2017;Mar;Y;HRV_DFN_0612
2017;Apr;Y;HRV_DFN_0612
2017;May;Y;HRV_DFN_0612
2017;Jun;Y;HRV_DFN_0612
2017;Jul;Y;HRV_DFN_0612
2017;Aug;Y;HRV_DFN_0612
2017;Sep;Y;HRV_DFN_0612
2017;Oct;Y;HRV_DFN_0612
2017;Nov;Y;HRV_DFN_0612
2017;Dec;Y;HRV_DFN_0612
2018;Jan;Y;HRV_DFN_0612
2018;Feb;Y;HRV_DFN_0612
2018;Mar;Y;HRV_DFN_0612
2018;Apr;Y;HRV_DFN_0612
2018;May;Y;HRV_DFN_0612
2018;Jun;Y;HRV_DFN_0612
2018;Jul;Y;HRV_DFN_0612
2018;Aug;Y;HRV_DFN_0612
2018;Sep;Y;HRV_DFN_0612
2018;Oct;Y;HRV_DFN_0612
2018;Nov;Y;HRV_DFN_0612
2018;Dec;Y;HRV_DFN_0612
2019;Jan;Y;HRV_DFN_0612
2019;Feb;Y;HRV_DFN_0612
2019;Mar;Y;HRV_DFN_0612
2019;Apr;Y;HRV_DFN_0612
2019;May;Y;HRV_DFN_0612
2019;Jun;Y;HRV_DFN_0612
2019;Jul;Y;HRV_DFN_0612
2019;Aug;Y;HRV_DFN_0612
2019;Sep;Y;HRV_DFN_0612
2019;Oct;Y;HRV_DFN_0612
2019;Nov;Y;HRV_DFN_0612
2019;Dec;Y;HRV_DFN_0612
2020;Jan;Y;HRV_DFN_0612
2020;Feb;Y;HRV_DFN_0612
2020;Mar;Y;HRV_DFN_0612
2020;Apr;Y;HRV_DFN_0612
2020;May;Y;HRV_DFN_0612
2020;Jun;Y;HRV_DFN_0612
2020;Jul;Y;HRV_DFN_0612
2020;Aug;Y;HRV_DFN_0612
2020;Sep;Y;HRV_DFN_0612
2020;Oct;Y;HRV_DFN_0612
2020;Nov;Y;HRV_DFN_0612
2020;Dec;Y;HRV_DFN_0612
2021;Jan;Y;HRV_DFN_0612
2021;Feb;Y;HRV_DFN_0612
2021;Mar;Y;HRV_DFN_0612
2021;Apr;Y;HRV_DFN_0612
2021;May;Y;HRV_DFN_0612
2021;Jun;Y;HRV_DFN_0612
2021;Jul;Y;HRV_DFN_0612
2021;Aug;Y;HRV_DFN_0612
2021;Sep;Y;HRV_DFN_0612
2021;Oct;Y;HRV_DFN_0612
2021;Nov;Y;HRV_DFN_0612
2021;Dec;Y;HRV_DFN_0612
2015;Jan;Y;HRV_DTS_0612
2015;Feb;Y;HRV_DTS_0612
2015;Mar;Y;HRV_DTS_0612
2015;Apr;Y;HRV_DTS_0612
2015;May;Y;HRV_DTS_0612
2015;Jun;Y;HRV_DTS_0612
2015;Jul;Y;HRV_DTS_0612
2015;Aug;Y;HRV_DTS_0612
2015;Sep;Y;HRV_DTS_0612
2015;Oct;Y;HRV_DTS_0612
2015;Nov;Y;HRV_DTS_0612
2015;Dec;Y;HRV_DTS_0612
2016;Jan;Y;HRV_DTS_0612
2016;Feb;Y;HRV_DTS_0612
2016;Mar;Y;HRV_DTS_0612
2016;Apr;Y;HRV_DTS_0612
2016;May;Y;HRV_DTS_0612
2016;Jun;Y;HRV_DTS_0612
2016;Jul;Y;HRV_DTS_0612
2016;Aug;Y;HRV_DTS_0612
2016;Sep;Y;HRV_DTS_0612
2016;Oct;Y;HRV_DTS_0612
2016;Nov;Y;HRV_DTS_0612
2016;Dec;Y;HRV_DTS_0612
2017;Jan;Y;HRV_DTS_0612
2017;Feb;Y;HRV_DTS_0612
2017;Mar;Y;HRV_DTS_0612
2017;Apr;Y;HRV_DTS_0612
2017;May;Y;HRV_DTS_0612
2017;Jun;Y;HRV_DTS_0612
2017;Jul;Y;HRV_DTS_0612
2017;Aug;Y;HRV_DTS_0612
2017;Sep;Y;HRV_DTS_0612
2017;Oct;Y;HRV_DTS_0612
2017;Nov;Y;HRV_DTS_0612
2017;Dec;Y;HRV_DTS_0612
2018;Jan;Y;HRV_DTS_0612
2018;Feb;Y;HRV_DTS_0612
2018;Mar;Y;HRV_DTS_0612
2018;Apr;Y;HRV_DTS_0612
2018;May;Y;HRV_DTS_0612
2018;Jun;Y;HRV_DTS_0612
2018;Jul;Y;HRV_DTS_0612
2018;Aug;Y;HRV_DTS_0612
2018;Sep;Y;HRV_DTS_0612
2018;Oct;Y;HRV_DTS_0612
2018;Nov;Y;HRV_DTS_0612
2018;Dec;Y;HRV_DTS_0612
2019;Jan;Y;HRV_DTS_0612
2019;Feb;Y;HRV_DTS_0612
2019;Mar;Y;HRV_DTS_0612
2019;Apr;Y;HRV_DTS_0612
2019;May;Y;HRV_DTS_0612
2019;Jun;Y;HRV_DTS_0612
2019;Jul;Y;HRV_DTS_0612
2019;Aug;Y;HRV_DTS_0612
2019;Sep;Y;HRV_DTS_0612
2019;Oct;Y;HRV_DTS_0612
2019;Nov;Y;HRV_DTS_0612
2019;Dec;Y;HRV_DTS_0612
2020;Jan;Y;HRV_DTS_0612
2020;Feb;Y;HRV_DTS_0612
2020;Mar;Y;HRV_DTS_0612
2020;Apr;Y;HRV_DTS_0612
2020;May;Y;HRV_DTS_0612
2020;Jun;Y;HRV_DTS_0612
2020;Jul;Y;HRV_DTS_0612
2020;Aug;Y;HRV_DTS_0612
2020;Sep;Y;HRV_DTS_0612
2020;Oct;Y;HRV_DTS_0612
2020;Nov;Y;HRV_DTS_0612
2020;Dec;Y;HRV_DTS_0612
2021;Jan;Y;HRV_DTS_0612
2021;Feb;Y;HRV_DTS_0612
2021;Mar;Y;HRV_DTS_0612
2021;Apr;Y;HRV_DTS_0612
2021;May;Y;HRV_DTS_0612
2021;Jun;Y;HRV_DTS_0612
2021;Jul;Y;HRV_DTS_0612
2021;Aug;Y;HRV_DTS_0612
2021;Sep;Y;HRV_DTS_0612
2021;Oct;Y;HRV_DTS_0612
2021;Nov;Y;HRV_DTS_0612
2021;Dec;Y;HRV_DTS_0612
2015;Jan;Y;HRV_DTS_1218
2015;Feb;Y;HRV_DTS_1218
2015;Mar;Y;HRV_DTS_1218
2015;Apr;Y;HRV_DTS_1218
2015;May;Y;HRV_DTS_1218
2015;Jun;Y;HRV_DTS_1218
2015;Jul;Y;HRV_DTS_1218
2015;Aug;Y;HRV_DTS_1218
2015;Sep;Y;HRV_DTS_1218
2015;Oct;Y;HRV_DTS_1218
2015;Nov;Y;HRV_DTS_1218
2015;Dec;Y;HRV_DTS_1218
2016;Jan;Y;HRV_DTS_1218
2016;Feb;Y;HRV_DTS_1218
2016;Mar;Y;HRV_DTS_1218
2016;Apr;Y;HRV_DTS_1218
2016;May;Y;HRV_DTS_1218
2016;Jun;Y;HRV_DTS_1218
2016;Jul;Y;HRV_DTS_1218
2016;Aug;Y;HRV_DTS_1218
2016;Sep;Y;HRV_DTS_1218
2016;Oct;Y;HRV_DTS_1218
2016;Nov;Y;HRV_DTS_1218
2016;Dec;Y;HRV_DTS_1218
2017;Jan;Y;HRV_DTS_1218
2017;Feb;Y;HRV_DTS_1218
2017;Mar;Y;HRV_DTS_1218
2017;Apr;Y;HRV_DTS_1218
2017;May;Y;HRV_DTS_1218
2017;Jun;Y;HRV_DTS_1218
2017;Jul;Y;HRV_DTS_1218
2017;Aug;Y;HRV_DTS_1218
2017;Sep;Y;HRV_DTS_1218
2017;Oct;Y;HRV_DTS_1218
2017;Nov;Y;HRV_DTS_1218
2017;Dec;Y;HRV_DTS_1218
2018;Jan;Y;HRV_DTS_1218
2018;Feb;Y;HRV_DTS_1218
2018;Mar;Y;HRV_DTS_1218
2018;Apr;Y;HRV_DTS_1218
2018;May;Y;HRV_DTS_1218
2018;Jun;Y;HRV_DTS_1218
2018;Jul;Y;HRV_DTS_1218
2018;Aug;Y;HRV_DTS_1218
2018;Sep;Y;HRV_DTS_1218
2018;Oct;Y;HRV_DTS_1218
2018;Nov;Y;HRV_DTS_1218
2018;Dec;Y;HRV_DTS_1218
2019;Jan;Y;HRV_DTS_1218
2019;Feb;Y;HRV_DTS_1218
2019;Mar;Y;HRV_DTS_1218
2019;Apr;Y;HRV_DTS_1218
2019;May;Y;HRV_DTS_1218
2019;Jun;Y;HRV_DTS_1218
2019;Jul;Y;HRV_DTS_1218
2019;Aug;Y;HRV_DTS_1218
2019;Sep;Y;HRV_DTS_1218
2019;Oct;Y;HRV_DTS_1218
2019;Nov;Y;HRV_DTS_1218
2019;Dec;Y;HRV_DTS_1218
2020;Jan;Y;HRV_DTS_1218
2020;Feb;Y;HRV_DTS_1218
2020;Mar;Y;HRV_DTS_1218
2020;Apr;Y;HRV_DTS_1218
2020;May;Y;HRV_DTS_1218
2020;Jun;Y;HRV_DTS_1218
2020;Jul;Y;HRV_DTS_1218
2020;Aug;Y;HRV_DTS_1218
2020;Sep;Y;HRV_DTS_1218
2020;Oct;Y;HRV_DTS_1218
2020;Nov;Y;HRV_DTS_1218
2020;Dec;Y;HRV_DTS_1218
2021;Jan;Y;HRV_DTS_1218
2021;Feb;Y;HRV_DTS_1218
2021;Mar;Y;HRV_DTS_1218
2021;Apr;Y;HRV_DTS_1218
2021;May;Y;HRV_DTS_1218
2021;Jun;Y;HRV_DTS_1218
2021;Jul;Y;HRV_DTS_1218
2021;Aug;Y;HRV_DTS_1218
2021;Sep;Y;HRV_DTS_1218
2021;Oct;Y;HRV_DTS_1218
2021;Nov;Y;HRV_DTS_1218
2021;Dec;Y;HRV_DTS_1218
2015;Jan;Y;HRV_DTS_1840
2015;Feb;Y;HRV_DTS_1840
2015;Mar;Y;HRV_DTS_1840
2015;Apr;Y;HRV_DTS_1840
2015;May;Y;HRV_DTS_1840
2015;Jun;Y;HRV_DTS_1840
2015;Jul;Y;HRV_DTS_1840
2015;Aug;Y;HRV_DTS_1840
2015;Sep;Y;HRV_DTS_1840
2015;Oct;Y;HRV_DTS_1840
2015;Nov;Y;HRV_DTS_1840
2015;Dec;Y;HRV_DTS_1840
2016;Jan;Y;HRV_DTS_1840
2016;Feb;Y;HRV_DTS_1840
2016;Mar;Y;HRV_DTS_1840
2016;Apr;Y;HRV_DTS_1840
2016;May;Y;HRV_DTS_1840
2016;Jun;Y;HRV_DTS_1840
2016;Jul;Y;HRV_DTS_1840
2016;Aug;Y;HRV_DTS_1840
2016;Sep;Y;HRV_DTS_1840
2016;Oct;Y;HRV_DTS_1840
2016;Nov;Y;HRV_DTS_1840
2016;Dec;Y;HRV_DTS_1840
2017;Jan;Y;HRV_DTS_1840
2017;Feb;Y;HRV_DTS_1840
2017;Mar;Y;HRV_DTS_1840
2017;Apr;Y;HRV_DTS_1840
2017;May;Y;HRV_DTS_1840
2017;Jun;Y;HRV_DTS_1840
2017;Jul;Y;HRV_DTS_1840
2017;Aug;Y;HRV_DTS_1840
2017;Sep;Y;HRV_DTS_1840
2017;Oct;Y;HRV_DTS_1840
2017;Nov;Y;HRV_DTS_1840
2017;Dec;Y;HRV_DTS_1840
2018;Jan;Y;HRV_DTS_1840
2018;Feb;Y;HRV_DTS_1840
2018;Mar;Y;HRV_DTS_1840
2018;Apr;Y;HRV_DTS_1840
2018;May;Y;HRV_DTS_1840
2018;Jun;Y;HRV_DTS_1840
2018;Jul;Y;HRV_DTS_1840
2018;Aug;Y;HRV_DTS_1840
2018;Sep;Y;HRV_DTS_1840
2018;Oct;Y;HRV_DTS_1840
2018;Nov;Y;HRV_DTS_1840
2018;Dec;Y;HRV_DTS_1840
2019;Jan;Y;HRV_DTS_1840
2019;Feb;Y;HRV_DTS_1840
2019;Mar;Y;HRV_DTS_1840
2019;Apr;Y;HRV_DTS_1840
2019;May;Y;HRV_DTS_1840
2019;Jun;Y;HRV_DTS_1840
2019;Jul;Y;HRV_DTS_1840
2019;Aug;Y;HRV_DTS_1840
2019;Sep;Y;HRV_DTS_1840
2019;Oct;Y;HRV_DTS_1840
2019;Nov;Y;HRV_DTS_1840
2019;Dec;Y;HRV_DTS_1840
2020;Jan;Y;HRV_DTS_1840
2020;Feb;Y;HRV_DTS_1840
2020;Mar;Y;HRV_DTS_1840
2020;Apr;Y;HRV_DTS_1840
2020;May;Y;HRV_DTS_1840
2020;Jun;Y;HRV_DTS_1840
2020;Jul;Y;HRV_DTS_1840
2020;Aug;Y;HRV_DTS_1840
2020;Sep;Y;HRV_DTS_1840
2020;Oct;Y;HRV_DTS_1840
2020;Nov;Y;HRV_DTS_1840
2020;Dec;Y;HRV_DTS_1840
2021;Jan;Y;HRV_DTS_1840
2021;Feb;Y;HRV_DTS_1840
2021;Mar;Y;HRV_DTS_1840
2021;Apr;Y;HRV_DTS_1840
2021;May;Y;HRV_DTS_1840
2021;Jun;Y;HRV_DTS_1840
2021;Jul;Y;HRV_DTS_1840
2021;Aug;Y;HRV_DTS_1840
2021;Sep;Y;HRV_DTS_1840
2021;Oct;Y;HRV_DTS_1840
2021;Nov;Y;HRV_DTS_1840
2021;Dec;Y;HRV_DTS_1840
